chn 0,  Pts = 0,  LumPixSum = 0,  LumPixAverage=0!     
chn 0,  Pts = 0,  LumPixSum = 300812923,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 300913949,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301110849,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301574390,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301706921,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301617178,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301464879,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301508535,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301351756,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301285546,  LumPixAverage=144!     

chn 0,  Pts = 0,  LumPixSum = 301368115,  LumPixAverage=144!     

